size,window, cores, threshold,time,precision,recall,candidates
100000,10,4,0.9,76,0.728,0.706,9401
100000,50,4,0.9,257,0.734,0.756,9401
100000,100,4,0.9,568,0.739,0.788,9401
100000,400,4,0.9,2179,   0.743,0.84,9401
