size,window, cores, threshold,time,precision,recall,candidates
1000000,10,4,0.9,386,0.728,0.706,9401
1000000,50,4,0.9,1302,0.734,0.736,9401
1000000,100,4,0.9,2840,0.739,0.760,9401
1000000,200,4,0.9,5650,0.739,0.780,9401
1000000,400,4,0.9,10896,   0.743,0.81,9401
