size,window, cores, threshold,time,precision,recall,candidates
1000000,10,4,0.9,762,0.728,0.706,9401
1000000,50,4,0.9,2572,0.734,0.756,9401
1000000,100,4,0.9,5682,0.739,0.788,9401
1000000,400,4,0.9,21792,   0.743,0.84,9401
